  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   687     1   0  6Jun26 ??         2:58.85 /usr/libexec/historicalaudiod
    0   688     1   0  6Jun26 ??         0:01.36 /usr/libexec/mobileactivationd
    0   692     1   0  6Jun26 ??         0:00.02 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   693     1   0  6Jun26 ??         0:00.75 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
  259   695     1   0  6Jun26 ??         0:03.60 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
    0   699     1   0  6Jun26 ??         0:22.00 /usr/sbin/mDNSResponderHelper
    0   700     1   0  6Jun26 ??         0:04.95 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
    0   701     1   0  6Jun26 ??         0:08.34 /usr/libexec/securityd_system
    0   702     1   0  6Jun26 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
    0   703     1   0  6Jun26 ??         0:00.11 /usr/libexec/colorsyncd
    0   704     1   0  6Jun26 ??         0:07.68 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   705     1   0  6Jun26 ??         0:25.73 /usr/libexec/triald_system
    0   706     1   0  6Jun26 ??         0:06.72 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   708     1   0  6Jun26 ??         0:59.68 /usr/sbin/WirelessRadioManagerd
  262   709     1   0  6Jun26 ??         0:00.35 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  262   711     1   0  6Jun26 ??         1:09.04 /usr/libexec/cameracaptured
