  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   622     1   0  6Jun26 ??         2:41.49 /usr/libexec/apfsd
  242   623     1   0  6Jun26 ??         0:25.73 /usr/libexec/nsurlsessiond --privileged
    0   625     1   0  6Jun26 ??         0:08.54 /usr/libexec/nehelper
    0   626     1   0  6Jun26 ??         0:02.00 /usr/libexec/centaurid
    0   627     1   0  6Jun26 ??         0:00.03 /usr/libexec/trustdFileHelper
    0   628     1   0  6Jun26 ??         0:00.37 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
    0   629     1   0  6Jun26 ??         0:03.60 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
    0   630     1   0  6Jun26 ??         0:06.40 /usr/libexec/PowerUIAgent
    0   631     1   0  6Jun26 ??         0:00.13 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   632     1   0  6Jun26 ??         1:11.45 /usr/libexec/lsd runAsRoot
  263   633     1   0  6Jun26 ??         1:44.11 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  262   634     1   0  6Jun26 ??         0:00.19 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
    0   635     1   0  6Jun26 ??         0:01.08 /usr/libexec/biometrickitd --launchd
    0   636     1   0  6Jun26 ??         0:28.36 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
    0   637     1   0  6Jun26 ??         8:15.22 /usr/libexec/mobileassetd
    0   638     1   0  6Jun26 ??         0:00.73 /usr/libexec/secinitd
    0   640     1   0  6Jun26 ??         0:08.01 /usr/libexec/eligibilityd
  261   641     1   0  6Jun26 ??         0:00.04 /usr/libexec/hidd
    0   645     1   0  6Jun26 ??        24:28.69 /usr/libexec/airportd
   88   652     1   0  6Jun26 ??         0:27.15 /usr/sbin/distnoted agent
  202   653     1   0  6Jun26 ??         0:27.07 /usr/sbin/distnoted agent
    0   655     1   0  6Jun26 ??         0:05.19 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   656     1   0  6Jun26 ??         0:00.02 /usr/libexec/cryptexd
  202   657     1   0  6Jun26 ??         0:00.06 Core Audio Driver (ParrotAudioPlugin.driver)
  202   658     1   0  6Jun26 ??         0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   659     1   0  6Jun26 ??         0:29.34 /usr/sbin/distnoted agent
   65   660     1   0  6Jun26 ??        25:09.55 /usr/sbin/mDNSResponder
  294   661     1   0  6Jun26 ??         0:25.09 /usr/libexec/audiomxd
    0   663     1   0  6Jun26 ??         0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  289   665     1   0  6Jun26 ??         0:20.97 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  202   667     1   0  6Jun26 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   668     1   0  6Jun26 ??         6:55.08 /usr/libexec/audioclocksyncd
    0   669     1   0  6Jun26 ??         0:06.54 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
   24   670     1   0  6Jun26 ??         6:42.82 /usr/libexec/symptomsd
    0   673     1   0  6Jun26 ??         0:13.02 /usr/libexec/storagekitd
    0   675     1   0  6Jun26 ??         0:00.38 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  262   676     1   0  6Jun26 ??         0:26.84 /usr/sbin/distnoted agent
  301   677     1   0  6Jun26 ??         0:30.04 /usr/libexec/modelmanagerd
    0   678     1   0  6Jun26 ??         0:00.08 /usr/libexec/colorsync.displayservices
    0   680     1   0  6Jun26 ??         0:55.23 /usr/libexec/audioanalyticsd
  202   681     1   0  6Jun26 ??         0:00.03 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
    0   684     1   0  6Jun26 ??         0:00.03 /usr/libexec/tzlinkd
    0   687     1   0  6Jun26 ??         2:58.86 /usr/libexec/historicalaudiod
    0   688     1   0  6Jun26 ??         0:01.40 /usr/libexec/mobileactivationd
    0   692     1   0  6Jun26 ??         0:00.02 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   693     1   0  6Jun26 ??         0:00.75 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
  259   695     1   0  6Jun26 ??         0:03.60 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
    0   699     1   0  6Jun26 ??         0:22.21 /usr/sbin/mDNSResponderHelper
    0   700     1   0  6Jun26 ??         0:05.00 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
    0   701     1   0  6Jun26 ??         0:09.34 /usr/libexec/securityd_system
    0   702     1   0  6Jun26 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
    0   703     1   0  6Jun26 ??         0:00.11 /usr/libexec/colorsyncd
    0   704     1   0  6Jun26 ??         0:07.77 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   705     1   0  6Jun26 ??         0:25.74 /usr/libexec/triald_system
